source,target,rel,cone
25899,35929,-1,1
25899,46089,-1,1
25899,46159,-1,1
25899,53607,-1,1
25899,54119,-1,1
25899,54355,-1,1
25899,55246,-1,1
135895,55752,0,1
25899,63386,-1,1
135895,55555,0,1
25899,394832,-1,1
25899,396872,-1,1
25899,397419,-1,1
25899,397422,-1,1
25899,399082,-1,1
25899,36046,-1,1
25875,13760,0,1
25899,18980,-1,1
25899,14107,-1,1
25875,14061,0,1
25875,15576,0,1
25875,16735,0,1
25875,20080,0,1
25875,23367,0,1
25875,36351,0,1
25875,37468,0,1
25875,40994,0,1
25875,49544,0,1
25875,52320,0,1
25875,53828,0,1
25875,199524,0,1
25875,263152,0,1
25878,3549,0,1
25899,16854,-1,1
25883,33463,-1,1
25888,21302,-1,1
25888,21326,-1,1
135895,58907,0,1
135895,58894,0,1
25899,1798,0,1
135895,58716,0,1
25899,6377,-1,1
25899,6649,-1,1
135895,58530,0,1
25899,10488,-1,1
25899,11080,-1,1
25899,11233,-1,1
25899,11741,-1,1
25899,13866,-1,1
25886,25951,-1,1
135607,140927,-1,1
135607,140878,-1,1
26744,15313,-1,1
27851,265793,-1,1
27851,267847,-1,1
27851,267891,-1,1
27855,263792,-1,1
27865,52375,0,1
27879,52360,0,1
27881,26621,-1,1
27881,266813,-1,1
135343,59692,0,1
27882,52355,-1,1
27882,264690,-1,1
27882,264789,-1,1
27882,264858,-1,1
27882,265670,-1,1
27882,265779,-1,1
27882,266723,-1,1
27882,266745,-1,1
27882,266804,-1,1
27882,269959,-1,1
27882,270090,-1,1
135341,137453,-1,1
135330,209272,-1,1
27884,28088,0,1
27884,262146,-1,1
27884,265631,-1,1
27884,273054,-1,1
135330,26383,-1,1
135323,199524,0,1
135323,148968,0,1
27851,264736,-1,1
27851,263827,-1,1
27851,263786,-1,1
27851,61487,-1,1
135360,149705,-1,1
135354,151420,0,1
27817,21578,-1,1
135354,150369,0,1
27833,265778,-1,1
135354,37468,0,1
27839,20144,-1,1
27839,52495,-1,1
135354,17639,0,1
27839,267765,-1,1
135354,14061,0,1
27843,52439,-1,1
27843,265691,-1,1
27843,265869,-1,1
135323,136557,0,1
27843,266823,-1,1
27843,269773,-1,1
135352,58739,-1,1
27843,270012,-1,1
27843,271842,-1,1
27843,271860,-1,1
27843,271862,-1,1
27843,272848,-1,1
27845,262929,-1,1
135345,137406,-1,1
27851,27996,-1,1
27851,28051,-1,1
27851,52295,-1,1
27851,52350,-1,1
27851,52442,-1,1
27843,267871,-1,1
27887,262178,-1,1
27887,263212,-1,1
27887,266709,-1,1
27947,264836,-1,1
27947,265629,-1,1
27947,265711,-1,1
27947,265787,-1,1
27947,265838,-1,1
27947,266667,-1,1
27947,267881,-1,1
27947,267931,-1,1
27947,269838,-1,1
27947,269992,-1,1
27947,270084,-1,1
27947,271873,-1,1
27947,271936,-1,1
27947,272097,-1,1
27947,264801,-1,1
27947,272101,-1,1
135323,16552,0,1
27951,52335,-1,1
27951,52467,-1,1
27951,263195,-1,1
27951,263210,-1,1
27951,264842,-1,1
27951,265696,-1,1
27951,265855,-1,1
27951,266747,-1,1
27951,267755,-1,1
