id,country,x,y,cone,asrank,angle,r,cone_map
264409,BR,1067.0721779352423,630.5102604718602,311,164,-48.1068062116807,175.32490677292202,6.068642113370612
263009,BR,1079.8703373659732,618.4450219867005,307,165,-42.3656040271991,175.7712370127196,6.08154551820652
263444,BR,1072.0456185740438,627.2781834038944,302,166,-46.2022914511267,176.33737262337885,6.097912495670725
32098,US,915.1745295769672,672.9809127479621,301,167,-101.382938930585,176.45172021066722,6.101218283805225
2828,US,949.6099389205887,676.6811251277031,299,168,-90.1264923872154,176.68155569848477,6.107862826523893
5400,GB,1126.460214106537,489.0917803072299,298,169,3.53734506462337,176.7970486727384,6.111201727789408
28368,BR,1085.336769049945,613.7591990236944,298,170,-40.0491961195834,176.7970486727384,6.111201727789408
212508,IT,1124.4123681511437,470.3603284907024,297,171,9.64471484550392,176.9129285588511,6.11455181467469
12302,RO,1109.9478630912301,423.3157341664785,293,172,25.6145913678636,177.3803696407162,6.128065533841412
702,US,1126.9226465177933,485.71726418114275,292,173,4.61540495608287,177.49822363429803,6.131472692163027
4809,CN,880.6939548867191,336.07529535648825,288,174,112.918250012175,177.9736966006682,6.145218613067662
12912,PL,1118.0241752212394,438.4444469789902,280,175,20.1202772181549,178.94471092072007,6.173290631846348
29119,ES,1129.0405102668635,507.361468081471,278,177,-2.35445940457138,179.191784211591,6.180433519358728
28283,BR,1061.1469362353457,640.5562310764961,278,178,-51.6642894036547,179.191784211591,6.180433519358728
4651,TH,910.2052253553844,325.28288166319345,278,176,102.831185977738,179.191784211591,6.180433519358728
45820,IN,992.7724928855146,325.86000853721015,277,179,76.2001214792327,179.3159858303267,6.184024187489457
4657,SG,906.8945315035904,324.9017975497004,269,181,103.83,180.32598790973267,6.21322334218172
52873,BR,1091.225408286778,612.3349985302507,268,182,-38.4998102652398,180.454337272781,6.216933921578255
199231,FI,1114.34778134274,423.60768065215007,262,183,24.93,181.23459848391246,6.23949126900233
271253,BR,1066.2518119243568,639.0377499527697,262,184,-50.1004345484092,181.23459848391246,6.23949126900233
196844,PL,1120.9845884243255,439.51834268595803,261,187,19.48,181.36637050481312,6.243300797418997
8641,RU,1083.6017179908188,377.3446238439143,261,188,42.5540261988081,181.36637050481312,6.243300797418997
9505,TW,850.4288958229318,348.41056909187705,261,186,123.298801214122,181.36637050481312,6.243300797418997
10099,HK,883.5000054180468,331.2649678617705,261,185,111.509846010905,181.36637050481312,6.243300797418997
33491,US,957.8386026460382,681.8640181212996,256,189,-87.5319964414164,182.0328673033166,6.2625692162848745
396998,US,980.0649154795548,679.532909617914,256,190,-80.4933535225294,182.0328673033166,6.2625692162848745
2603,DK,1127.2426639189666,457.34487377423494,254,191,13.5314551077336,182.30310394073862,6.270381756021668
11404,US,854.6071901447344,655.8334192847572,251,192,-121.472719146511,182.7124591757819,6.28221621366867
18403,VN,898.527673425726,324.5442502443933,250,193,106.349767147234,182.84999460013879,6.28619236204831
29838,US,986.9160428148242,679.3672218012046,248,194,-78.3701974702887,183.12671698522976,6.294192404715386
1257,SE,1124.2379511330448,443.6392791143767,248,195,17.9248295266659,183.12671698522976,6.294192404715386
55655,ID,929.3934930334113,318.03635982860646,248,196,96.4609458419752,183.12671698522976,6.294192404715386
138840,ID,897.2862202476413,324.3329923152343,246,197,106.703336856252,183.40567102655172,6.302256964552117
272713,BR,1133.5551673279774,493.04477092225204,244,199,2.17,183.68689301179268,6.310387090635367
38082,TH,914.8866658584877,319.7004480599237,244,198,101.020408024383,183.68689301179268,6.310387090635367
8732,RU,1095.6398941676703,387.83097844099814,243,201,37.602766787383,183.82836606648607,6.314477075886892
852,CA,880.6414573952046,670.2417714264416,243,200,-112.166572084019,183.82836606648607,6.314477075886892
4837,CN,867.1739106729393,335.72902141194925,242,202,116.757425469989,183.97042012098052,6.3185838578395455
43727,RU,1093.29197870009,384.39278703020955,241,203,38.8964063788056,184.11305996704726,6.322707575023408
3215,FR,1134.4177925151234,493.1614196487772,238,204,2.12366897975418,184.54454307123586,6.335181749248584
4800,ID,892.060984965903,324.78653329652457,238,205,108.297848525364,184.54454307123586,6.335181749248584
9050,RO,1116.6924706294744,420.4773024507749,237,206,25.504051018347,184.68957520678788,6.33937462750862
12874,IT,1131.51544506011,465.1259262507459,236,207,10.8755600301933,184.83521800576386,6.343585160044963
24724,PL,1122.4776810059425,433.5507158048289,236,208,21.069832433023,184.83521800576386,6.343585160044963
52965,BR,1100.0977335985478,608.1148327736187,235,210,-35.7650640039058,184.9814766323595,6.347813496154484
17494,BD,948.5952435595202,315.023857331733,235,209,90.4351105330729,184.9814766323595,6.347813496154484
17557,PK,1007.5947445033826,324.0586639869411,234,211,71.8740383670806,185.1283563165568,6.352059787035935
7552,VN,897.8483218136911,322.21544602010033,233,212,106.348629229052,185.27586235524635,6.356324185822393
266925,BR,1083.2293158276377,628.9651473156364,232,213,-44.0682590365261,185.42400011337327,6.3606068476143935
29226,RU,1095.9861691198691,385.19245996880016,230,214,38.1824844968309,185.7221925950439,6.3692275906583005
13536,US,992.6893240920839,680.7494244274974,230,215,-76.7114174613512,185.7221925950439,6.3692275906583005
4761,ID,895.971337944621,322.15343658365236,229,216,106.898450000768,185.87225839941613,6.373565992256899
38193,PK,1017.5511577157755,326.51301939939117,227,217,68.7254013817188,186.17435738215295,6.3822996722256535
35168,KZ,998.1744518366903,320.00902716170674,226,219,75.0160345553105,186.32640208258414,6.386695283698692
4713,JP,812.4524477315298,374.3091133852845,226,218,137.578947295334,186.32640208258414,6.386695283698692
45430,TH,916.0991298381084,316.15821829514425,222,220,100.448109058124,186.9413536330291,6.404473529719976
28146,BR,1064.2879130080312,647.9369549450641,222,221,-52.3123092431718,186.9413536330291,6.404473529719976
45899,VN,897.606960305463,320.38878764251433,221,222,106.262096832326,187.09681507967775,6.408967919307814
58682,BD,948.7174028354805,312.43694915807845,218,223,90.3917949648972,187.56743613062392,6.422573571363594
8455,NL,1137.7221947005507,498.8456979655227,217,224,0.352306776720521,187.72574356325853,6.427150238391005
58552,ID,895.6725987880301,320.30723922780874,217,225,106.821901532336,187.72574356325853,6.427150238391005
13030,CH,1135.860177230216,473.60020234299265,217,226,8.08428055391129,187.72574356325853,6.427150238391005
8881,DE,1135.5894969167516,467.7756463590848,213,227,9.85019974310937,188.36631953029107,6.4456692861582425
25478,RU,1064.5470251221075,350.46455480701906,213,228,52.5471911822869,188.36631953029107,6.4456692861582425
139009,BD,948.9925447247111,311.47435742210666,212,230,90.3061779028048,188.5283344103461,6.450353135470669
30781,FR,1137.9502596530947,485.24761809491145,212,229,4.48799486469141,188.5283344103461,6.450353135470669
5650,US,939.1550817249159,688.3792010501484,211,231,-93.2948592314929,188.69111171617354,6.455059026508081
4229,US,872.6743301235042,327.7013555630889,210,232,114.17,188.85465865751348,6.459787167704028
11432,BR,1080.6904524993918,636.7867897052279,208,233,-46.3056584745863,189.18409080141495,6.469311049215283
9299,PH,850.1427916796549,338.9251293140817,206,235,121.79654595126,189.51669061066394,6.478926507914725
15924,TR,1114.3180949425378,405.2389401099768,205,236,29.9717386784418,189.68419754166513,6.483769132390513
3209,DE,1137.351526347682,469.28543062856096,204,237,9.31029886314126,189.85251959476108,6.488635322041686
55685,ID,894.5980542004339,318.4108935037647,204,238,106.966690612213,189.85251959476108,6.488635322041686
28663,BR,1079.8135480458009,638.768425137082,203,239,-46.9096094371813,190.02166474185353,6.493525307335878
2500,JP,807.851492690148,373.38378134367514,201,240,138.307524138398,190.3624567955702,6.5033776037788895
812,CA,986.833615032887,686.7649585999858,201,241,-78.843355340227,190.3624567955702,6.5033776037788895
12880,IR,1068.5428229532122,350.61251184571324,199,242,51.5670934487906,190.70663987067613,6.513327934632057
9730,IN,1005.2925078160105,317.48490180212434,199,243,73.1459422401936,190.70663987067613,6.513327934632057
3269,IT,1136.8195930387287,460.83849697568,198,244,11.8390363565398,190.88002426204795,6.518340476455601
7015,US,1009.9228971942463,681.2303232191782,198,245,-71.7037908000222,190.88002426204795,6.518340476455601
8717,BG,1124.2045467193354,421.97462230408036,198,246,24.1273777898245,190.88002426204795,6.518340476455601
39386,SA,1080.9344339815202,360.38545295255216,195,247,46.8376092413237,191.40545381290755,6.533530641949577
50581,UA,1111.9462383646535,397.97322102083245,195,248,32.2110920483642,191.40545381290755,6.533530641949577
9790,NZ,758.5803401743594,481.62783324417796,190,250,174.517631670294,192.29930493651742,6.559371873133464
33651,US,848.8213310569365,663.7429888772307,189,252,-121.7123940423,192.4808807532294,6.5646212290196075
13649,US,936.6373813055463,692.1994583964291,188,253,-93.9770748237365,192.66341475810623,6.569898286120452
60299,RU,1102.77007650903,382.30872094664267,187,254,37.61,192.84691711767167,6.5752033383501445
2119,NO,1138.704971306052,457.629194859206,184,255,12.655003257774,193.40333845075423,6.591289476101769
141682,AU,777.6457250137469,412.25687937017506,184,256,153.02,193.40333845075423,6.591289476101769
29075,FR,1143.0001650029324,487.5185083929087,184,257,3.70021604734073,193.40333845075423,6.591289476101769
2856,GB,1143.535886669239,504.61149106951126,183,258,-1.36496126573475,193.590819200531,6.596709543571109
37271,ZA,1122.6431675699937,411.99566948114307,182,260,27.0100750588978,193.77932164881042,6.602159148338673
5603,SI,1137.3414687769427,450.4661774625569,182,261,14.8103115827394,193.77932164881042,6.602159148338673
8551,IL,1109.0123820637514,389.25033702496125,182,259,34.8566142476095,193.77932164881042,6.602159148338673
263903,BR,1096.3399544974268,627.3127456330209,181,262,-41.0225971743485,193.968856992372,6.607638614103299
50673,NL,1143.4658511129487,476.1333374290699,176,263,7.03268691721767,194.93243221468379,6.635495568606265
58511,AU,788.6867564458221,390.5619326597788,176,264,145.84626202831,194.93243221468379,6.635495568606265
1680,IL,1110.192812779587,388.58474339719874,175,265,34.8188916840933,195.1284107199766,6.641161306141942
9808,CN,869.7994010871442,321.89913757615767,174,266,114.242514122772,195.3255059179348,6.64685932725658
4775,PH,847.5860732365613,333.4439528700897,173,267,121.587012170572,195.52373060743267,6.6525900019655655
52925,BR,1085.7494699556348,640.718195829154,173,268,-46.0296190551564,195.52373060743267,6.6525900019655655
41327,IT,1140.416636635664,455.60367444247845,173,269,13.1242560242116,195.52373060743267,6.6525900019655655
16019,CZ,1139.7052068557045,448.6495980533282,168,272,15.1461631921704,196.53226017183644,6.68174658625702
3741,ZA,1126.3031454513,413.15456147713803,168,270,26.2244672592295,196.53226017183644,6.68174658625702
8400,RS,1134.2909269623858,431.13407807964643,167,273,20.4897344298775,196.73754334797323,6.687681321776835
199995,UA,1119.7816566623017,400.1944454472397,166,274,30.4489928723928,196.94405210256974,6.693651488763339
44901,BG,1130.4622747292267,420.61360255580024,165,275,23.7449714658002,197.15180115742112,6.699657512823551
58715,BD,948.2062513338636,302.85635905427216,165,276,90.5213020903479,197.15180115742112,6.699657512823551
48858,RU,1047.0517846812954,328.1505349491815,164,277,60.5444614709057,197.36080550118606,6.705699827279513
12578,LV,1129.9667079336255,418.9859790924424,164,278,24.2354233900049,197.36080550118606,6.705699827279513
33667,US,849.4268443457534,670.0569674272135,163,279,-120.600435698034,197.57108039587598,6.711778873355896
34549,DE,1011.1348182912817,312.1253987328632,163,280,71.9749953420855,197.57108039587598,6.711778873355896
28260,BR,1094.9844143208093,634.5269223490338,162,282,-42.8573648229667,197.7826413835427,6.717895100373331
21859,US,764.2298057746517,431.5043457014694,161,283,159.760476541679,197.99550429317188,6.72404896594771
33287,US,1000.2730015946878,691.5067754179156,161,284,-75.2910039029386,197.99550429317188,6.72404896594771
3292,DK,1144.5365552329263,462.0183201512298,160,285,11.0475585971438,198.20968524778965,6.7302409361956315
15694,PL,1135.474276776455,429.48863271860694,159,286,20.8151969252031,198.42520067179103,6.736471485946267
