source,target,rel,type
8220,7473,-1,ipv6
1299,29076,-1,ipv6
3216,29076,-1,ipv6
12389,29076,-1,ipv6
8359,29076,-1,ipv6
174,1273,-1,ipv6
3356,1273,-1,ipv6
1299,1273,-1,ipv6
701,1273,-1,ipv6
174,50509,-1,ipv6
6762,50509,-1,ipv6
6939,50509,-1,ipv6
20485,50509,-1,ipv6
3216,50509,-1,ipv6
12389,50509,-1,ipv6
3356,34984,-1,ipv6
3257,34984,-1,ipv6
6762,34984,-1,ipv6
6453,34984,-1,ipv6
174,264409,-1,ipv6
3356,264409,-1,ipv6
3257,264409,-1,ipv6
6762,264409,-1,ipv6
13786,264409,-1,ipv6
1221,7474,-1,ipv6
7473,7474,-1,ipv6
174,8529,-1,ipv6
3320,8529,-1,ipv6
6762,8529,-1,ipv6
6453,8529,-1,ipv6
6939,8529,-1,ipv6
137409,8529,-1,ipv6
58453,8529,-1,ipv6
4637,8529,-1,ipv6
3356,7922,-1,ipv6
174,23520,-1,ipv6
1299,23520,-1,ipv6
3491,23520,-1,ipv6
6762,23520,-1,ipv6
6830,23520,-1,ipv6
6762,7738,-1,ipv6
52320,7738,-1,ipv6
174,64049,-1,ipv6
3356,64049,-1,ipv6
1299,64049,-1,ipv6
2914,64049,-1,ipv6
9498,64049,-1,ipv6
4637,64049,-1,ipv6
64049,55836,-1,ipv6
6762,26615,-1,ipv6
2914,132602,-1,ipv6
5511,132602,-1,ipv6
9002,132602,-1,ipv6
58453,132602,-1,ipv6
3356,7843,-1,ipv6
1299,7843,-1,ipv6
3257,7843,-1,ipv6
701,7843,-1,ipv6
6939,7843,-1,ipv6
3491,328578,-1,ipv6
6939,328578,-1,ipv6
55836,9583,-1,ipv6
9121,3216,-1,ipv6
23520,52468,-1,ipv6
7473,9498,-1,ipv6
7473,9304,-1,ipv6
53013,52468,-1,ipv6
1273,3216,-1,ipv6
7473,9583,-1,ipv6
1273,31500,-1,ipv6
15412,9304,-1,ipv6
12389,20764,-1,ipv6
1031,61568,-1,ipv6
264409,61832,-1,ipv6
1221,15830,-1,ipv6
7473,58717,-1,ipv6
1273,12389,-1,ipv6
4755,15830,-1,ipv6
10429,52468,-1,ipv6
4826,8220,-1,ipv6
2497,15830,-1,ipv6
4637,15830,-1,ipv6
262589,22356,-1,ipv6
7474,15830,-1,ipv6
34984,15830,-1,ipv6
55836,13335,-1,ipv6
7474,137409,-1,ipv6
1273,32787,-1,ipv6
1221,13335,-1,ipv6
267613,13335,-1,ipv6
10429,13335,-1,ipv6
7738,4230,-1,ipv6
4230,61832,-1,ipv6
14840,13335,-1,ipv6
3549,15830,-1,ipv6
4755,32787,-1,ipv6
52468,13335,-1,ipv6
53062,13335,-1,ipv6
16735,13335,-1,ipv6
1221,32787,-1,ipv6
58717,13335,-1,ipv6
1273,9304,-1,ipv6
328578,13335,-1,ipv6
4637,9498,-1,ipv6
8529,13335,-1,ipv6
132602,13335,-1,ipv6
22356,16735,-1,ipv6
7474,32787,-1,ipv6
7738,16735,-1,ipv6
16735,53013,-1,ipv6
23764,37468,-1,ipv6
264409,262589,-1,ipv6
4755,13335,-1,ipv6
267613,53062,-1,ipv6
7545,8220,-1,ipv6
262589,13335,-1,ipv6
10429,61568,-1,ipv6
23764,31133,-1,ipv6
10429,1031,-1,ipv6
26615,23764,-1,ipv6
4637,32787,-1,ipv6
7660,11537,-1,ipv6
7660,8359,-1,ipv6
7660,7713,-1,ipv6
7660,24482,-1,ipv6
4637,13335,-1,ipv6
4766,9304,-1,ipv6
7660,41095,-1,ipv6
4826,137409,-1,ipv6
